ZCTA,Year,CustomerClass,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,AnnualTotalAverage,anyNull?
90001,2014,residential,348.5186583830792,307.62591289998295,309.03384196272873,288.4147034213449,292.1110643601288,336.9510656548814,436.06122478551816,390.1154863225146,337.0904507787513,372.62793773527324,308.5568527918782,355.07312091503263,1036.257911442184,True
90001,2015,residential,394.00875050875055,309.37163192679213,303.9390842191333,310.5533665075658,297.24519279682573,311.4235763214395,376.909580412476,380.74192237350127,436.03440860215056,415.52419109443156,329.8819479599069,405.89479039479033,4271.528443117763,False
90001,2016,residential,418.2394537177542,333.2345803842265,311.56743855372736,292.6566862229415,283.99939030586324,337.7611060282606,391.3956077320109,403.5001015640869,377.43556098057167,353.1802038139441,341.6383901553359,370.51159479251436,4215.120114251237,False
90001,2017,residential,405.92557193695984,371.1398034646946,305.547463841923,290.93923968374315,294.02065527065525,334.27927836102333,414.5626393675248,410.3755467399044,431.5396583282489,343.1877223295051,346.3119219432869,341.6247323886227,4289.454233656092,False
90001,2018,residential,374.4502697561255,353.83647624236505,391.2448335764793,297.72407501267105,281.7604632263308,325.51975560081473,448.9732928679818,511.2190669371197,428.0947250736863,332.2569049553209,329.70157280568236,352.29313317780714,3307.542989657415,True
90002,2014,residential,390.9998536318603,345.12266136710366,346.70220393739714,323.5697834549489,327.7166965434483,378.0222785299073,489.21304775097576,437.6669494806906,378.17865340890063,412.9007136208501,339.37619783616685,410.2912379170564,1162.5681493740735,True
90002,2015,residential,445.7877475247525,347.4766759345073,341.83276237932114,355.01265822784814,331.7143742255266,350.03813953488367,426.19734403953055,416.75975232198135,474.6304821150856,456.72805666769324,358.20511241145675,475.98572315332086,4780.3688285359085,False
90002,2016,residential,465.7434474252236,374.65,357.21930095886177,326.0664615384615,316.10225517454427,395.5509761388287,438.4892506142506,437.96150292577767,424.32062711343383,387.51643625192014,391.9775591761451,425.634455078728,4741.232272396175,False
90002,2017,residential,450.00183992640297,424.4255970606246,343.1459041731066,330.40747549019613,332.18274268104784,385.9555281037677,457.47563591786695,447.50413223140504,477.07171437365344,375.6800984312519,395.9440172254691,403.48873108984253,4823.283416704635,False
90002,2018,residential,420.633441356124,397.4772264848013,439.49937829464295,332.12374276135324,321.559926244622,375.99724011039564,502.4399878456396,560.0787545787547,465.29117018026284,362.0580862121676,384.979242979243,410.9537235672694,3715.481874479707,True
90008,2014,residential,629.907810203203,555.9988267359789,558.5434982808259,521.2767520264448,527.9575037413524,609.000702851916,788.1310357773035,705.0893425788059,609.2526255999235,581.4002932551319,639.337738619677,652.1802067946825,1872.9182386694915,True
90008,2015,residential,639.509461426492,621.8272327964861,534.5066079295153,527.4087591240876,567.1310751104564,527.47583081571,601.3627019089573,637.2707100591716,762.5550595238095,653.9159292035397,675.9970674486804,686.6754772393539,7435.635912586261,False
