,County,Year,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,COUNTY POP
0,37,2014,522.0077308943871,459.7782918782165,462.2833809003838,434.87385404028424,447.3363659302547,516.5283497060748,666.8830019567241,601.006097689064,522.200285949589,586.9782406307652,467.408361569515,491.04634081133844,6643854
1,111,2014,446.5042914914987,382.445376416869,384.93745931463275,403.47226817642303,484.3613875902619,601.9413829130506,745.864460921566,705.3073297204661,596.3377526816073,571.7895756972918,486.9928664916365,535.6662223204055,822872
2,59,2014,581.6813344891923,504.3015730373571,529.8606355600698,512.4504511998057,613.776380215218,533.974928812771,733.3093903051051,767.8422086231609,913.7174384591664,617.5510312972872,487.80399025241917,523.1920544208166,2777814
3,71,2014,61.58605727142773,54.246813768619475,54.29266511224128,51.041045816518825,53.87630012299846,53.11224158902676,69.4116928696613,71.40753305350606,79.52492813680934,704.1325432789557,501.37024111840867,523.6443196473625,2004701
4,65,2014,675.5174548708404,594.9581747406378,595.9603200658884,560.5051095655259,594.2284244905525,580.4051371531493,759.6739459723875,786.0386567759296,884.076052889464,860.8359229562818,585.6327522123179,591.750550065706,1933533
5,73,2014,513.4105525503196,445.15441446148395,454.51887383826255,425.73001424073567,460.1466770028049,434.8911892830488,575.5793574184964,603.5204954164473,699.5489033475924,495.1557186458537,439.2875947927965,518.4470028581216,3061958
6,25,2014,251.97462673475937,315.2871532698166,339.8895728055547,222.31772057032455,456.89733527928655,559.5114299261292,765.973557186249,643.13032367783,626.659267879961,564.1169605217102,361.33849551591084,353.7149185973638,260
7,27,2014,0.6704092670738689,0.5459491768387064,0.5556444160206667,0.6047168137869289,0.8351665161157853,1.172831841165617,1.5368716160108484,1.3918709890398486,1.1302829351486157,479.2441341262277,494.92820198591,619.8767323715277,15052
8,83,2014,458.39188000497035,406.5548842306271,416.1664939514654,394.1475138671978,401.73161335164684,385.9112162757652,420.30898627904344,417.04376532043847,399.77167682847585,442.25277754205257,438.97618265196274,506.4100823448111,420548
9,31,2014,744.528138673424,606.9512057729069,592.1220922086363,612.4707669415561,799.1359630173677,1065.500151376898,1367.8085937196968,1237.9541409327057,1009.4048911001139,704.4603209552223,628.7413193986584,747.9036099456,152968
10,107,2014,716.1333743868864,571.2432257386942,556.2259331544433,572.9774387992801,745.1630909771243,1019.7658007823989,1322.6280916030769,1186.69843747411,956.8036781984255,679.0880118753967,509.64151672477993,565.1983593237422,440133
11,29,2014,522.5978650356708,428.26010565577775,442.87758414930863,491.5512702295291,692.1217319323766,978.8300764885576,1285.066859593384,1166.8532994523787,949.5835401685329,601.6119337888093,452.24979446551674,537.0607888265678,838810
12,19,2014,588.9836188604253,487.27547874911596,484.46553847035403,501.80631989970374,662.531355608402,921.2844175955414,1220.1630873500135,1107.4711063456352,894.2208627061525,589.5926862533063,510.4144071817869,606.1825630525874,930265
13,53,2014,471.86274024345136,422.64297471708306,425.881947127747,403.21208887061994,401.32968107795324,390.26856485585853,406.6570163037247,405.515125799091,394.4711639725554,409.15713485624326,430.23050310565026,502.71386872995845,414542
14,69,2014,587.0061121993105,510.8632748985067,515.0639552521989,491.19138819691483,524.7095220977591,507.55259067501476,571.7832175370243,544.2678401671374,525.495055606868,542.9870442199887,536.7669271658733,636.1952187528776,55269
15,79,2014,505.64641545582776,441.7254267222385,443.058315853587,420.33886614792885,444.7379467419485,444.87644477013004,509.0204217682032,474.5513886538517,452.24194345189227,450.72329105860763,449.7767914601821,527.8557402061592,269621
16,51,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.84989979002995,420.93095842190405,627.7306556831793,12782
17,39,2014,668.8077295452788,558.0347393871206,549.7667852304016,545.5523187977963,674.0067734565762,883.1445570583692,1180.1391573035585,1060.166554393752,871.5479079670552,621.6124937505425,575.2487756219361,685.8647622905098,150865
18,43,2014,665.0595619083036,581.9597940483872,570.1298052010471,527.2372237240027,540.9880034612316,624.820989776816,816.1418204327537,723.8801919964435,609.1709265681632,521.7315827571517,581.4556631745681,686.8099197501016,18251
19,47,2014,598.6081096215479,498.7520782512062,497.3958087687321,506.48765720998983,663.0373774150031,869.878173711659,1130.3313864083095,1009.2903701403438,830.0507119911607,594.1298334441635,521.2677706967492,617.4855237254927,233623
20,81,2014,529.6032607496219,464.47820047883727,458.6872362891196,427.9134863663916,426.20748192273254,414.76284449629753,435.18726968781374,431.57459618229285,423.1734074958457,440.6424438650073,466.5447420113193,547.5068607855044,718168
21,85,2014,560.9452259807896,478.9989192855678,474.86576542011795,448.5251979886721,478.7557027125051,496.67851932951186,580.0479107726259,537.0534041377257,503.62587539162973,489.32898134892616,489.1635606231767,571.3599272072324,1618731
22,75,2014,379.7208824105877,348.3571496197592,338.5514529650687,318.23081385888247,307.36099961997763,297.3946038789961,301.08505629118605,303.61228469387044,299.9218566408629,315.6256119893615,331.65270227537565,385.7551795629282,799169
23,55,2014,659.831089950032,575.716085299287,569.1756901944657,544.974591036262,595.7288590117896,630.8137690057723,691.6640600370365,641.1743590438103,620.1521993725809,605.8088679203784,598.4821620109689,699.6054988004337,136484
24,1,2014,473.5725633385668,415.43152763098266,410.2853463434193,385.68435636047485,394.2109926092427,395.85703453193304,435.84314216026894,418.53738646366355,407.4712333656731,408.4031072406453,417.75811461414366,489.46365178017436,1435704
25,13,2014,564.7470757700565,489.1780388361429,492.92168968895453,470.69542106633673,537.0236132694534,608.3502344921072,692.9242483157481,629.0156590331145,585.1333114141034,533.4732069780092,509.911521774865,604.4563462883505,1047834
26,95,2014,556.3012806818404,485.4976794306383,491.0476463490594,475.75726232510596,551.0564657184729,625.2212959650958,699.8902388203454,634.5527865668538,601.8660700436238,544.2283670794361,506.8696758976793,595.9354730679726,408700
27,97,2014,618.7878646576496,535.6509694812762,533.8893810495914,498.9165067939468,508.1817086088951,510.66711873523315,540.5598716205794,516.7275408168061,498.7660900345023,517.5846079737498,544.9433197575383,639.8302233943275,483203
28,67,2014,960.588965470004,790.6682306457848,750.4583900598692,725.8651757494359,858.6926248089156,1015.280906653491,1170.7442474512259,1049.5639495632759,913.0673503855164,774.3557591492068,784.5462371128534,931.379865325169,38995
29,41,2014,564.885170213434,495.8275709533472,487.4746270905456,447.4285200954133,445.23155248659197,436.8078918531686,459.4247432460779,453.2214135642748,449.2894500750288,471.283946331435,506.8847732367062,605.966865944125,252317
30,87,2014,554.6780618000433,494.71813968121216,492.4594116134839,455.0479829778866,439.65164559831555,425.164887853989,441.6176618649751,439.2983460772528,430.168095797959,455.2127778810839,500.9981593884156,578.1447890012787,262382
31,77,2014,634.0349936039693,534.1175348935951,536.4019615980067,533.0323947128691,664.8402298929839,821.3140340556253,1014.2852913222499,906.2458244576328,769.3640761626255,612.0286929171125,563.6887796610417,658.7984610259252,683691
32,9,2014,700.0519882669959,614.2171555093813,598.6252756376674,558.0471218307111,598.6103970785198,715.5376003704715,921.7097622074332,821.008839078494,687.2387824111553,580.5110378168558,626.3788273368239,750.685307097229,45414
33,3,2014,350.5158330016242,336.1795625313373,327.22295099610477,299.5578369970051,287.8132084106275,273.73516775894336,351.7986632793835,318.09938212512435,260.52403218986217,273.63088997607747,334.58424510757493,426.61931224375587,121
34,109,2014,696.0779484010419,614.8909616574922,594.2127150136866,542.4396363129144,543.2610076748132,615.0900305987296,809.8163498814802,723.6216830845157,619.885697344035,543.3173716046596,623.9044408229161,752.0891784473819,55111
